date,filter,symbol,direction,r_rank,trigger_time,entry_price,level_price,atr_ratio,pos_vs_open,stop_price,stop_source,stop_dist_pct,qual_huge,qual_stop,filterA_ok,filterB_ok,R_unit,target_price,exit_time,exit_price,exit_reason,realized_R,tie_stopfirst
2025-06-18,A,DMART,long,3,09:45,4163.9,4153.9,1.2125901060634123,above,4144.9,third_back,0.00456302985182161,True,True,True,True,19.0,4220.9,11:05,4144.9,stop,-1.0,False
2025-06-19,A,TRENT,short,4,09:55,3809.3,3809.7,0.8619460665675781,below,3835.0,third_back,0.006746646365473924,True,True,True,True,25.699999999999818,3732.2000000000007,15:00,3815.7,time,-0.2490272373540732,False
2025-06-20,A,MANKIND,short,4,09:35,2303.1,2306.4,0.7466416923045301,below,2321.5,third_back,0.007989231904823972,True,True,True,True,18.40000000000009,2247.8999999999996,15:00,2290.0,time,0.7119565217391219,False
2025-06-23,A,BEL,long,4,10:05,414.95,414.05,0.7723948228131509,above,413.5,swing_body,0.003494396915290972,True,True,True,True,1.4499999999999886,419.29999999999995,11:35,419.29999999999995,target,3.0,False
2025-06-24,A,HINDPETRO,short,4,09:50,398.45,398.55,0.5381502074939584,below,399.75,third_back,0.003262642740619931,True,True,True,True,1.3000000000000114,394.54999999999995,10:40,394.54999999999995,target,3.0,False
2025-06-25,A,TITAN,long,4,10:15,3591.1,3589.9,0.7028338933068363,above,3570.0,third_back,0.005875636991451062,True,True,True,True,21.09999999999991,3654.3999999999996,12:25,3654.3999999999996,target,3.0,False
2025-06-26,A,COLPAL,short,3,09:55,2362.8,2363.9,0.3380145786895188,below,2370.6,third_back,0.003301168105637264,True,True,True,True,7.799999999999727,2339.400000000001,10:25,2370.6,stop,-1.0,False
2025-06-27,A,GODFRYPHLP,long,4,09:50,2976.0,2967.0,0.5700575957451397,above,2951.0,third_back,0.008400537634408602,True,True,True,True,25.0,3051.0,10:10,2951.0,stop,-1.0,False
2025-06-30,A,TORNTPHARM,short,1,10:00,3341.8,3351.9,0.850239998471737,below,3365.0,third_back,0.006942366389370943,True,True,True,True,23.199999999999818,3272.2000000000007,11:40,3365.0,stop,-1.0,False
2025-07-01,A,IDFCFIRSTB,long,4,10:35,75.2,74.99,1.1003924150948428,above,74.6,third_back,0.007978723404255433,True,True,True,True,0.6000000000000085,77.00000000000003,13:50,77.00000000000003,target,3.0,False
2025-07-02,A,SBICARD,short,3,09:45,909.2,909.45,0.48609284336989755,below,910.0,third_back,0.0008798944126704295,True,True,True,True,0.7999999999999545,906.8000000000002,09:50,910.0,stop,-1.0,False
2025-07-03,A,GMRAIRPORT,short,3,10:20,88.97,89.05,0.6670715196155822,below,89.38,third_back,0.004608294930875538,True,True,True,True,0.4099999999999966,87.74000000000001,15:00,88.35,time,1.5121951219512433,False
2025-07-04,A,BOSCHLTD,long,3,10:20,35695.0,35670.0,0.8724368362434685,above,35420.0,third_back,0.007704160246533128,True,True,True,True,275.0,36520.0,11:40,35420.0,stop,-1.0,False
2025-07-07,A,DABUR,long,2,10:00,513.1,512.35,1.0763676478191875,above,509.45,third_back,0.00711362307542396,True,True,True,True,3.650000000000034,524.0500000000002,15:00,513.0,time,-0.027397260273978576,False
2025-07-08,A,DIVISLAB,short,3,09:45,6985.0,6988.0,0.3859869694223625,below,7007.0,third_back,0.0031496062992125984,True,True,True,True,22.0,6919.0,10:45,6919.0,target,3.0,False
2025-07-09,A,WIPRO,short,4,09:50,260.45,260.5,0.9607151442647519,below,260.95,third_back,0.001919754271453254,True,True,True,True,0.5,258.95,10:00,260.95,stop,-1.0,False
2025-07-10,A,PHOENIXLTD,long,4,09:45,1513.0,1511.4,0.8162584688925096,below,1507.6,third_back,0.0035690680766689298,True,True,True,False,5.400000000000091,1529.2000000000003,10:50,1507.6,stop,-1.0,False
2025-07-11,A,HINDUNILVR,long,2,09:45,2516.9,2511.5,0.30005165786022797,above,2503.7,third_back,0.0052445468632048445,True,True,True,True,13.200000000000273,2556.500000000001,15:00,2521.9,time,0.37878787878787096,False
2025-07-14,A,SONACOMS,short,3,09:50,447.75,448.35,0.8230515081695114,below,450.0,third_back,0.005025125628140704,True,True,True,True,2.25,441.0,10:10,450.0,stop,-1.0,False
